Week triển khai,Ngày chia,Brand,Mã cv,Địa chỉ,Phường,Quận,Thành Phố,Project,Task,Ưu tiên,PIC,Status,Ngày hoàn thành (Typing theo thứ tự: Tháng/Ngày/Năm),Tài khoản Portal,Yêu cầu,Note,File nghiệm thu,Type,W hoàn thành,UG-MC chính sách không POSM,UP-MC chính sách không POSM,Check tên Brand,Count st,,,,,latitude,longitude,pic_id
W-52,01/01/2025,GENVIET,QC1,"246 đường Cầu Giấy, P.Dịch Vọng, Q.Cầu Giấy, TP.Hà Nội",Dịch Vọng,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2025,,"Check POSM, thao tác Portal, gửi HDSD (nếu hư hỏng)",,,,,,,GENVIET,0,,,,,,,
W1,01/01/2026,GO & BIG C,QC2,"Big C Thăng Long, 222, Trần Duy Hưng, P.Trung Hòa, Q.Cầu Giấy, TP.Hà Nội",Hà Nội,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,,"Check POSM (thay thế nếu hư hỏng), re-check nhận diện UrBox",,"https://drive.google.com/open?id=1MRAa6dbvlifgdmOvVHjFdwH-SFb0u-1X, https://drive.google.com/open?id=1dTD9WPZUtem76f7RVeYSA5tyApRcl_Nk",MC bình thường outlet,W1,,,GO & BIG C,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,Nguyễn Kim,QC3,"Big C Thăng Long, Số 222Trần Duy Hưng, P. Trung Hòa, Q. Cầu Giấy, Tp. Hà Nội",Hà Nội,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,On-going,,,"Check POSM (thay thế nếu hư hỏng), re-check nhận diện UrBox",,,,,,,Nguyễn Kim,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,JUMP ARENA,QC4,"Tầng 3, Trung Tâm Thương Mại Big C Thăng Long, 222 Trần Duy Hưng, P.Trung Hoà, Q.Cầu Giấy, TP.Hà Nội",Hà Nội,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,CGKD6B,"Check POSM (thay thế nếu hư hỏng), re-check thao tác Portal",,"https://drive.google.com/open?id=1XtPJB-L-26gBK_ABOkgJQm00l7NfIlZt, https://drive.google.com/open?id=1qxwOwW8roN9f7VEU5AwO3mfsiOky96h4",MC bình thường outlet,W1,,,JUMP ARENA,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,GENVIET,QC5,"17 Hồ Tùng Mậu, P.Mai Dịch, Q.Cầu Giấy, TP.Hà Nội",,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,On-going,,XE6JW3,"Check POSM (thay thế nếu hư hỏng), re-check thao tác Portal",,,,,,,GENVIET,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,Trung Nguyên Legend Café,QC6,"17T2 Hoàng Đạo Thúy, P.Trung Hòa, Q.Cầu Giấy, TP.Hà Nội",,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,,"Check POSM (thay thế nếu hư hỏng), re-check nhận diện UrBox",,"https://drive.google.com/open?id=1FsF923QaxC4d_H9bKBQ23PD45beVgxBi, https://drive.google.com/open?id=1_9xEdbV11sIfXQTrP12J4ycAbXDVTlqW",MC bình thường outlet,W1,,,Trung Nguyên Legend Café,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,YAKIMONO,QC7,"263 Tô Hiệu, P.Nghĩa Tân, Q.Cầu Giấy, TP.Hà Nội",,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,BEAQ4Y,"Check POSM (thay thế nếu hư hỏng), re-check thao tác Portal",,"https://drive.google.com/open?id=1wAjSXAv0j_yVAAa68QkiKPJYrh1os0f3, https://drive.google.com/open?id=18432NFLvyx5yDXZYmbfHSMyfmn1JfXat",MC bình thường outlet,W1,,,YAKIMONO,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,SSAMJANG,QC8,"263 Tô Hiệu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,G9Z22F,"Check POSM (thay thế nếu hư hỏng), re-check thao tác Portal",,https://drive.google.com/open?id=14f4Fx706xB1qDsi3wTOmIcIkjDqh5uL5,MC bình thường outlet,W1,,,SSAMJANG,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,GENVIET,QC9,"355 Cầu Giấy, P.Dịch Vọng, Q.Cầu Giấy, TP.Hà Nội",,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,32N4LZ,"Check POSM (thay thế nếu hư hỏng), re-check thao tác Portal",,https://drive.google.com/open?id=17p6O6z1EGWgFoiPZqQEQfOEQ-hi99okb,MC bình thường outlet,W1,,,GENVIET,,,,,,21.00285,105.79721,USER002
W1,01/01/2026,SSAMJANG,QC10,"75 Trung Hoà, Cầu Giấy, Hà Nội",,Cầu Giấy,Hà Nội,UrGift,Site check,FALSE,Lê Anh Tuấn,Done,08/01/2026,U8BNGA,"Check POSM (thay thế nếu hư hỏng), re-check thao tác Portal",,"https://drive.google.com/open?id=1PwOr3DkX5ZXB9AbNwHLNlvSQGouNul1-, https://drive.google.com/open?id=1bWKvHCbeib4sJo15kn4IuK2E4qpJlgWM",MC bình thường outlet,W1,,,SSAMJANG,,,,,,21.00285,105.79721,USER002
